nºAp,codigo,MAC
Ap0,a,b0:be:76:a0:0b:ef
Ap1,b,74:da:88:a5:f6:86
Ap2,c,92:f6:52:dc:17:96
Ap3,d,8c:e0:81:7d:e2:02
Ap4,e,d4:6e:0e:3a:82:ea
Ap5,f,74:da:88:d5:4c:e2
Ap6,g,8c:e0:81:7d:a5:a8
Ap7,h,f8:0f:6f:22:42:0f
Ap8,i,c0:4a:00:a4:6b:a8
Ap9,j,c2:4a:00:a4:6b:a8
Ap10,k,e4:c3:2a:1b:b6:c3
Ap11,l,b2:be:76:a0:0b:ee
Ap12,m,98:da:c4:fa:52:da
Ap13,n,92:f6:52:f5:d1:7a
Ap14,o,b2:be:76:a0:0b:ef
Ap15,p,c0:25:67:7a:43:29
Ap16,q,90:f6:52:dc:17:4a
Ap17,r,40:3f:8c:f8:b0:7a
Ap18,s,b0:be:76:a0:0b:ee
Ap19,t,9a:da:c4:fa:52:da
Ap20,u,90:f6:52:58:4b:88
Ap21,A,40:3f:8c:f8:b0:7b
Ap22,v,f8:0f:6f:22:42:00
Ap23,w,90:f6:52:dc:2e:88
Ap24,x,98:da:c4:fa:52:db
Ap25,y,e4:47:b3:f0:3a:38
Ap26,z,90:f6:52:f5:d1:d8
Ap27,B,90:f6:52:f5:d1:7a
Ap28,C,84:74:2a:00:ca:8a
Ap29,D,b0:4e:26:87:71:1e
Ap30,E,f8:0f:6f:22:42:4f
Ap31,F,50:d4:f7:3c:d6:2e
Ap32,G,74:da:88:d5:4c:e3
Ap33,H,f4:b5:aa:80:cf:b4
Ap34,I,9a:da:c4:fa:52:db
Ap35,J,92:f6:52:f5:d1:d8
Ap36,K,90:f6:52:dc:15:4a
Ap37,L,92:f6:52:f5:d7:4e
Ap38,M,34:4b:50:27:c7:ed
Ap39,N,ac:84:c6:cd:49:e6
Ap40,O,ae:84:c6:ff:80:2c
Ap41,P,0c:80:63:b2:02:02
Ap42,Q,ac:84:c6:ff:80:2c
Ap43,R,c0:4a:00:65:a5:94
Ap44,S,e4:c3:2a:1b:b6:c2
Ap45,T,32:cd:a7:23:93:87
Ap46,U,6a:ff:7b:61:b4:ec
Ap47,V,54:e6:fc:da:17:4e
Ap48,W,f8:0f:6f:f9:98:00
Ap49,0,34:4b:50:27:c6:0d
Ap50,1,0c:80:63:64:f1:a1
Ap51,2,b0:be:76:db:8d:98
Ap52,X,90:f6:52:f5:d2:ce
Ap53,Y,68:ff:7b:61:b4:ed
Ap54,Z,90:f6:52:f5:d7:50
Ap55,3,f8:0f:6f:22:05:8f
Ap56,4,20:e8:82:d4:be:c0
Ap57,5,f4:b5:aa:80:88:14
Ap58,6,92:f6:52:dc:14:b6
Ap59,7,0c:80:63:64:f2:d2
Ap60,8,5c:3a:3d:a2:0c:9f
Ap61,9,f4:b5:aa:80:88:15
Ap62,.,90:f6:52:dc:14:b6
Ap63,;,nan
Ap64,-,92:f6:52:f5:d2:be
Ap65,[,8c:e1:17:e0:e8:86
Ap66,],6a:ff:7b:61:b4:ed
Ap67,!,9a:da:c4:e1:8a:21
Ap68,\u0026,nan
Ap69,(,9a:da:c4:fa:54:01
Ap70,),9a:da:c4:fa:53:94
Ap71,+,90:f6:52:f5:d2:fc
Ap72,=,98:da:c4:e1:8a:21
Ap73,^,92:f6:52:f5:d2:ae
Ap74,_,f8:0f:6f:d7:52:00
Ap75,ba,92:f6:52:dc:17:08
Ap76,bb,68:57:2d:8e:a1:6e
Ap77,bc,e4:47:b3:b5:41:c0
Ap78,bd,d8:07:b6:15:b5:b8
Ap79,be,f8:0f:6f:90:80:00
Ap80,bf,f8:0f:6f:d7:52:0f
Ap81,bg,68:ff:7b:61:b4:ec
Ap82,bh,0e:80:63:64:f1:ec
Ap83,bi,98:da:c4:e1:8a:20
Ap84,bj,98:da:c4:fa:53:95
Ap85,bk,0c:80:63:64:f1:ec
Ap86,bl,92:f6:52:f5:d2:fc
Ap87,bm,90:f6:52:dc:17:08
Ap88,bn,98:da:c4:fa:53:94
Ap89,bo,f8:d1:11:ad:95:72
Ap90,bp,c8:3a:35:22:c7:08
Ap91,bq,90:f6:52:f5:d0:da
Ap92,br,2e:78:0e:cd:16:12
Ap93,bs,f4:f2:6d:af:63:2c
Ap94,bt,92:f6:52:f5:d0:da
Ap95,bu,b0:4e:26:19:95:f9
Ap96,bv,f8:0f:6f:90:80:0f
Ap97,bw,98:da:c4:fa:7d:ce
Ap98,bx,b0:95:75:fc:ff:77
Ap99,by,f8:0f:6f:f9:98:0f
Ap100,bz,f8:0f:6f:22:42:40
Ap101,bA,34:fa:40:00:f3:c1
Ap102,bB,0e:80:63:64:f1:a1
Ap103,bC,0c:80:63:64:f2:d3
Ap104,bD,0e:80:63:64:f2:d3
Ap105,bE,90:f6:52:dc:17:b0
Ap106,bF,0c:80:63:64:f3:5a
Ap107,bG,90:f6:52:f5:cf:42
Ap108,bH,90:f6:52:dc:17:96
Ap109,bI,38:46:08:53:2b:36
Ap110,bJ,0e:80:63:64:f3:2d
Ap111,bK,60:32:b1:1b:2d:b6
Ap112,bL,9a:da:c4:fa:53:95
Ap113,bM,90:f6:52:f5:d1:da
Ap114,bN,92:f6:52:f5:d1:da
Ap115,bO,60:32:b1:15:c4:9a
Ap116,bP,94:44:52:a6:e8:bc
Ap117,bQ,a8:b4:56:0d:b4:a0
