nºAp,MAC
Ap0,b0:be:76:a0:0b:ee
Ap1,98:da:c4:fa:52:da
Ap2,9a:da:c4:fa:52:da
Ap3,90:f6:52:dc:14:b6
Ap4,90:f6:52:dc:15:4a
Ap5,92:f6:52:dc:14:b6
Ap6,b2:be:76:a0:0b:ee
Ap7,0e:80:63:64:f1:ec
Ap8,0c:80:63:64:f1:ec
Ap9,9a:da:c4:fa:52:db
Ap10,90:f6:52:f5:d1:7a
Ap11,40:3f:8c:f8:b0:7a
Ap12,f8:0f:6f:22:42:0f
Ap13,b2:be:76:a0:0b:ef
Ap14,92:f6:52:f5:d1:7a
Ap15,f8:0f:6f:22:42:00
Ap16,98:da:c4:fa:52:db
Ap17,68:ff:7b:61:b4:ec
Ap18,f8:0f:6f:90:80:00
Ap19,6a:ff:7b:61:b4:ed
Ap20,50:d4:f7:3c:d6:2e
Ap21,9a:da:c4:e1:8a:21
Ap22,90:f6:52:f5:d7:50
Ap23,68:ff:7b:61:b4:ed
Ap24,e4:c3:2a:1b:b6:c3
Ap25,b0:be:76:a0:0b:ef
Ap26,d4:6e:0e:3a:82:ea
Ap27,f8:0f:6f:22:42:40
Ap28,f4:b5:aa:80:88:14
Ap29,98:da:c4:fa:3e:b8
Ap30,90:f6:52:f5:cf:42
Ap31,f8:0f:6f:90:5e:4f
Ap32,9a:da:c4:fa:3e:b9
Ap33,a2:f3:c1:d4:36:be
Ap34,0e:80:63:64:f3:2d
Ap35,9a:da:c4:fa:57:ee
Ap36,9a:da:c4:fa:3e:b8
Ap37,50:c7:bf:4b:78:10
Ap38,98:da:c4:fa:52:24
Ap39,f8:0f:6f:13:a1:60
Ap40,fa:d0:27:40:1c:24
Ap41,a0:f3:c1:d4:36:be
Ap42,98:da:c4:fa:53:a7
Ap43,90:f6:52:dc:2e:70
Ap44,74:da:88:a5:f6:86
Ap45,f8:0f:6f:22:42:4f
Ap46,f8:0f:6f:22:05:8f
Ap47,98:da:c4:fa:3e:b9
Ap48,f8:0f:6f:90:7c:40
Ap49,d4:6e:0e:9f:85:26
Ap50,00:1c:10:10:10:bb
Ap51,f8:0f:6f:22:05:80
Ap52,38:46:08:53:2b:36
Ap53,74:da:88:d5:4c:e2
Ap54,90:f6:52:dc:2e:88
Ap55,90:f6:52:dc:2c:66
Ap56,0e:80:63:64:f3:5a
Ap57,8c:e0:81:7d:e2:02
Ap58,0c:80:63:64:f3:5a
Ap59,92:f6:52:f5:d1:d8
Ap60,c2:4a:00:a4:6b:a8
Ap61,b0:95:75:fc:ff:77
Ap62,e4:47:b3:f0:3a:38
Ap63,90:f6:52:dc:17:b0
Ap64,8c:e0:81:7d:a8:14
Ap65,c0:25:67:7a:43:29
Ap66,84:74:2a:00:ca:8a
Ap67,38:46:08:50:77:88
Ap68,24:d3:f2:f9:87:f6
Ap69,68:ff:7b:13:f3:dc
Ap70,e4:47:b3:f0:d6:74
Ap71,90:f6:52:58:4b:88
Ap72,f4:b5:aa:80:cf:b4
Ap73,50:9f:27:69:2a:46
Ap74,98:da:c4:e1:8a:21
Ap75,98:da:c4:fa:57:ee
Ap76,6a:ff:7b:61:b4:ec
Ap77,90:f6:52:f5:d0:da
Ap78,c0:4a:00:a4:6b:a8
Ap79,ac:84:c6:ff:80:2c
Ap80,0c:80:63:64:f3:2d
Ap81,0c:80:63:b2:02:02
Ap82,54:e6:fc:da:17:4e
Ap83,0c:80:63:64:f1:a1
Ap84,8c:e1:17:e0:e8:86
Ap85,e4:47:b3:b5:41:c0
Ap86,32:cd:a7:23:93:87
Ap87,ae:84:c6:ff:80:2c
Ap88,9a:da:c4:fa:53:95
Ap89,0e:80:63:64:f1:a1
Ap90,a8:b4:56:3c:8f:20
Ap91,a8:b4:56:0d:b4:a0
Ap92,a8:b4:56:3c:8f:2f
Ap93,90:f6:52:f5:d7:4e
Ap94,b0:be:76:a9:5e:6e
Ap95,d6:6e:0e:9f:85:26
Ap96,a8:b4:56:0d:b4:af
Ap97,24:58:6e:f1:df:34
Ap98,f8:0f:6f:90:7c:4f
